age,workclass,education,educational_num,marital_status,occupation,relationship,hours_per_week,native_country,income
32,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,40,United-States,<=50K
26,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,40,United-States,<=50K
21,Private,Some-college,10,Never-married,Prof-specialty,Own-child,24,United-States,<=50K
28,State-gov,HS-grad,9,Separated,Other-service,Own-child,11,United-States,<=50K
36,Private,Some-college,10,Divorced,Sales,Unmarried,40,United-States,<=50K
55,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,40,United-States,>50K
56,Private,7th-8th,4,Divorced,Farming-fishing,Other-relative,40,United-States,<=50K
33,State-gov,Doctorate,16,Married-civ-spouse,Tech-support,Husband,45,United-States,>50K
49,Private,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,40,United-States,<=50K
47,Private,Masters,14,Married-civ-spouse,Tech-support,Husband,40,United-States,>50K
62,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,1,United-States,>50K
42,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,40,United-States,<=50K
41,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,50,United-States,<=50K
31,Private,5th-6th,3,Never-married,Transport-moving,Not-in-family,30,El-Salvador,<=50K
48,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,70,United-States,<=50K
32,Private,Some-college,10,Never-married,Sales,Not-in-family,40,United-States,<=50K
19,Self-emp-not-inc,HS-grad,9,Never-married,Other-service,Own-child,53,Yugoslavia,<=50K
47,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,40,United-States,<=50K
24,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,60,United-States,>50K
18,Private,11th,7,Never-married,Other-service,Own-child,28,United-States,<=50K
58,Private,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,40,United-States,<=50K
49,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,40,United-States,>50K
31,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,35,United-States,<=50K
23,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,40,United-States,<=50K
32,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,77,United-States,<=50K
22,State-gov,Some-college,10,Never-married,Prof-specialty,Own-child,10,United-States,<=50K
51,Self-emp-inc,HS-grad,9,Married-spouse-absent,Exec-managerial,Not-in-family,99,United-States,>50K
39,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,72,United-States,<=50K
31,Private,10th,6,Separated,Other-service,Unmarried,40,United-States,<=50K
38,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,40,United-States,<=50K
68,Self-emp-inc,11th,7,Married-civ-spouse,Sales,Husband,40,United-States,<=50K
37,Local-gov,Some-college,10,Never-married,Craft-repair,Not-in-family,40,United-States,<=50K
25,State-gov,Some-college,10,Married-civ-spouse,Craft-repair,Own-child,50,United-States,>50K
37,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,40,United-States,<=50K
55,Local-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,38,United-States,<=50K
32,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,36,United-States,<=50K
51,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,40,Mexico,>50K
36,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,40,China,<=50K
46,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,40,United-States,<=50K
55,Private,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,40,United-States,>50K
51,State-gov,Doctorate,16,Divorced,Exec-managerial,Not-in-family,40,United-States,<=50K
50,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,40,United-States,<=50K
47,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,65,United-States,<=50K
42,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,40,United-States,>50K
48,Local-gov,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,40,United-States,<=50K
61,?,7th-8th,4,Married-civ-spouse,?,Husband,70,United-States,<=50K
35,Self-emp-inc,Assoc-acdm,12,Never-married,Farming-fishing,Own-child,35,United-States,<=50K
36,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,40,United-States,<=50K
31,Private,HS-grad,9,Never-married,Sales,Own-child,40,United-States,<=50K
45,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,44,United-States,>50K
56,Private,11th,7,Divorced,Sales,Not-in-family,50,United-States,<=50K
36,Private,Some-college,10,Never-married,Tech-support,Unmarried,40,United-States,<=50K
26,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,40,United-States,<=50K
37,Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,40,United-States,<=50K
38,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,35,United-States,<=50K
34,Private,HS-grad,9,Never-married,Farming-fishing,Not-in-family,40,United-States,<=50K
29,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,40,United-States,<=50K
37,Private,Some-college,10,Divorced,Other-service,Unmarried,25,United-States,<=50K
52,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,40,United-States,<=50K
20,Private,11th,7,Never-married,Sales,Other-relative,32,Mexico,<=50K
43,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,40,United-States,>50K
33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,40,United-States,<=50K
63,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,40,United-States,<=50K
67,Private,HS-grad,9,Divorced,Sales,Not-in-family,20,United-States,<=50K
24,Private,Assoc-voc,11,Never-married,Sales,Not-in-family,40,United-States,<=50K
29,Private,Some-college,10,Never-married,Craft-repair,Unmarried,40,Poland,<=50K
37,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,40,United-States,<=50K
54,Private,Some-college,10,Married-civ-spouse,Sales,Husband,60,United-States,<=50K
66,?,HS-grad,9,Divorced,?,Not-in-family,40,United-States,>50K
57,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,45,United-States,<=50K
36,Local-gov,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,50,United-States,<=50K
41,Private,Prof-school,15,Divorced,Prof-specialty,Not-in-family,45,United-States,>50K
48,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,45,United-States,<=50K
24,Private,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,65,United-States,<=50K
66,?,Assoc-voc,11,Married-civ-spouse,?,Husband,45,United-States,<=50K
29,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,60,Mexico,<=50K
44,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,20,United-States,<=50K
45,Private,HS-grad,9,Divorced,Other-service,Own-child,60,United-States,<=50K
27,Private,Some-college,10,Never-married,Other-service,Own-child,40,United-States,<=50K
36,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,40,United-States,>50K
36,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,50,United-States,<=50K
32,State-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,55,United-States,<=50K
18,Private,HS-grad,9,Never-married,Other-service,Own-child,20,United-States,<=50K
39,Private,Assoc-voc,11,Divorced,Craft-repair,Not-in-family,45,United-States,<=50K
25,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Own-child,40,Philippines,<=50K
26,Private,12th,8,Never-married,Farming-fishing,Other-relative,40,Puerto-Rico,<=50K
63,State-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,40,United-States,>50K
50,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,45,United-States,<=50K
47,Private,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,40,Mexico,<=50K
17,Private,10th,6,Never-married,Other-service,Own-child,15,United-States,<=50K
46,Self-emp-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,40,United-States,>50K
34,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,70,United-States,<=50K
26,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,45,United-States,<=50K
48,Local-gov,10th,6,Married-civ-spouse,Transport-moving,Husband,40,United-States,<=50K
47,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,60,United-States,>50K
40,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,40,Columbia,<=50K
21,Private,Some-college,10,Never-married,Other-service,Own-child,40,United-States,<=50K
55,?,HS-grad,9,Divorced,?,Not-in-family,40,United-States,<=50K
37,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,40,United-States,>50K
41,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,40,Haiti,>50K
34,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,35,United-States,<=50K
47,Private,Some-college,10,Separated,Transport-moving,Unmarried,50,United-States,>50K
39,Private,Some-college,10,Married-civ-spouse,Sales,Husband,60,United-States,>50K
36,Private,Assoc-voc,11,Never-married,Machine-op-inspct,Not-in-family,40,United-States,<=50K
29,Private,HS-grad,9,Never-married,Tech-support,Unmarried,40,United-States,<=50K
46,Local-gov,HS-grad,9,Separated,Adm-clerical,Unmarried,40,United-States,<=50K
77,Private,Assoc-voc,11,Divorced,Sales,Not-in-family,30,United-States,<=50K
27,Private,Bachelors,13,Never-married,Tech-support,Not-in-family,40,England,>50K
19,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,40,United-States,<=50K
38,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Wife,40,United-States,<=50K
18,Private,11th,7,Never-married,Priv-house-serv,Own-child,6,United-States,<=50K
54,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,35,United-States,<=50K
33,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,50,United-States,<=50K
45,Self-emp-inc,Some-college,10,Separated,Adm-clerical,Not-in-family,40,United-States,<=50K
28,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,50,England,>50K
26,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,43,United-States,<=50K
26,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,50,United-States,<=50K
41,Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,40,United-States,<=50K
21,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,40,United-States,<=50K
38,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,40,United-States,>50K
26,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,40,United-States,<=50K
49,Private,Some-college,10,Separated,Sales,Not-in-family,50,United-States,<=50K
26,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,40,United-States,<=50K
43,Self-emp-inc,HS-grad,9,Never-married,Exec-managerial,Own-child,40,United-States,<=50K
22,Private,Some-college,10,Never-married,Sales,Not-in-family,25,United-States,<=50K
73,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,45,United-States,<=50K
33,Private,5th-6th,3,Never-married,Machine-op-inspct,Not-in-family,35,United-States,<=50K
25,Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,40,United-States,<=50K
36,Private,HS-grad,9,Married-spouse-absent,Other-service,Not-in-family,40,United-States,<=50K
25,?,Some-college,10,Never-married,?,Unmarried,42,United-States,<=50K
42,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,45,United-States,<=50K
54,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,16,United-States,<=50K
33,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,55,United-States,>50K
79,Private,Bachelors,13,Never-married,Other-service,Not-in-family,40,United-States,<=50K
48,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,40,United-States,>50K
52,Self-emp-not-inc,Masters,14,Married-civ-spouse,Farming-fishing,Husband,45,United-States,<=50K
23,State-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,38,United-States,<=50K
25,Private,HS-grad,9,Never-married,Sales,Own-child,40,United-States,<=50K
54,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,40,Germany,<=50K
47,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,40,United-States,>50K
21,Private,HS-grad,9,Married-civ-spouse,Other-service,Other-relative,16,United-States,<=50K
45,Federal-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,40,United-States,>50K
22,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,40,United-States,<=50K
27,Private,HS-grad,9,Never-married,Sales,Not-in-family,40,United-States,<=50K
51,Private,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,40,United-States,<=50K
56,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Wife,60,United-States,>50K
31,Private,HS-grad,9,Never-married,Craft-repair,Other-relative,50,United-States,<=50K
59,?,Some-college,10,Married-civ-spouse,?,Wife,12,United-States,>50K
36,Private,Masters,14,Divorced,Exec-managerial,Not-in-family,50,Greece,>50K
46,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,48,United-States,>50K
24,Private,Bachelors,13,Divorced,Transport-moving,Unmarried,40,United-States,<=50K
47,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,40,United-States,<=50K
29,Private,Bachelors,13,Never-married,Sales,Own-child,40,United-States,<=50K
34,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,48,United-States,>50K
26,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,42,United-States,>50K
19,Private,11th,7,Never-married,Sales,Own-child,25,United-States,<=50K
42,Private,Masters,14,Married-civ-spouse,Adm-clerical,Husband,40,United-States,>50K
56,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,30,?,<=50K
42,Private,HS-grad,9,Divorced,Other-service,Not-in-family,30,United-States,<=50K
35,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,40,United-States,<=50K
43,Self-emp-not-inc,Assoc-voc,11,Married-civ-spouse,Sales,Husband,45,United-States,>50K
17,Private,HS-grad,9,Never-married,Other-service,Own-child,15,United-States,<=50K
38,Federal-gov,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,40,United-States,<=50K
33,Private,Assoc-voc,11,Never-married,Sales,Other-relative,40,El-Salvador,<=50K
20,Private,HS-grad,9,Never-married,Other-service,Unmarried,40,United-States,<=50K
48,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,44,United-States,<=50K
38,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,40,Haiti,<=50K
46,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,40,United-States,>50K
72,Private,Some-college,10,Widowed,Adm-clerical,Not-in-family,6,United-States,<=50K
30,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Unmarried,40,United-States,<=50K
31,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,40,United-States,<=50K
29,Private,Some-college,10,Never-married,Adm-clerical,Own-child,40,United-States,<=50K
83,Self-emp-not-inc,11th,7,Never-married,Farming-fishing,Not-in-family,20,United-States,<=50K
61,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,40,United-States,>50K
42,Self-emp-not-inc,Masters,14,Divorced,Prof-specialty,Not-in-family,32,United-States,<=50K
23,Private,HS-grad,9,Never-married,Farming-fishing,Own-child,40,United-States,<=50K
20,Local-gov,Some-college,10,Never-married,Prof-specialty,Own-child,18,United-States,<=50K
42,State-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,38,United-States,<=50K
27,Federal-gov,HS-grad,9,Never-married,Craft-repair,Own-child,20,United-States,<=50K
44,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,50,United-States,>50K
62,Self-emp-not-inc,Masters,14,Married-civ-spouse,Sales,Husband,40,United-States,<=50K
66,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,60,United-States,>50K
22,?,Bachelors,13,Never-married,?,Not-in-family,23,United-States,<=50K
32,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,45,United-States,<=50K
30,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,50,United-States,<=50K
43,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,40,United-States,>50K
56,State-gov,Assoc-acdm,12,Never-married,Adm-clerical,Not-in-family,45,United-States,<=50K
64,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,40,United-States,<=50K
31,Private,Some-college,10,Married-civ-spouse,Other-service,Other-relative,30,Philippines,<=50K
46,Private,Some-college,10,Separated,Tech-support,Unmarried,55,United-States,<=50K
45,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,32,United-States,<=50K
41,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,40,?,<=50K
52,Federal-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,48,United-States,>50K
19,Private,HS-grad,9,Never-married,Sales,Unmarried,30,United-States,<=50K
34,Private,HS-grad,9,Never-married,Other-service,Unmarried,40,United-States,<=50K
57,Self-emp-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,50,United-States,>50K
30,Private,9th,5,Divorced,Other-service,Unmarried,38,United-States,<=50K
39,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,60,Canada,>50K
41,Local-gov,Bachelors,13,Divorced,Prof-specialty,Not-in-family,40,United-States,<=50K
21,?,Some-college,10,Never-married,?,Own-child,25,United-States,<=50K
31,Private,Some-college,10,Never-married,Tech-support,Not-in-family,50,United-States,<=50K
39,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,55,United-States,>50K
20,Private,11th,7,Never-married,Farming-fishing,Other-relative,36,El-Salvador,<=50K
26,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,50,United-States,>50K
36,Private,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,40,Puerto-Rico,<=50K
29,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,40,United-States,<=50K
24,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,60,United-States,<=50K
28,State-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,70,United-States,<=50K
36,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,35,United-States,<=50K
42,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,40,United-States,<=50K
18,?,HS-grad,9,Never-married,?,Not-in-family,40,United-States,<=50K
34,Local-gov,Some-college,10,Married-civ-spouse,Transport-moving,Husband,40,United-States,>50K
27,Private,Bachelors,13,Married-AF-spouse,Sales,Wife,40,United-States,<=50K
39,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,60,United-States,>50K
50,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,44,United-States,<=50K
26,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,40,United-States,>50K
52,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,60,United-States,>50K
32,Private,Assoc-acdm,12,Never-married,Machine-op-inspct,Own-child,48,United-States,<=50K
19,Private,Some-college,10,Never-married,Adm-clerical,Own-child,30,United-States,<=50K
36,Private,11th,7,Married-civ-spouse,Transport-moving,Husband,60,United-States,<=50K
28,Private,Some-college,10,Never-married,Sales,Own-child,55,United-States,<=50K
45,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,45,United-States,>50K
25,Private,Assoc-acdm,12,Divorced,Other-service,Not-in-family,32,United-States,<=50K
42,Private,Assoc-acdm,12,Never-married,Prof-specialty,Own-child,40,United-States,<=50K
24,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,40,United-States,<=50K
55,Self-emp-not-inc,9th,5,Married-civ-spouse,Farming-fishing,Husband,30,United-States,<=50K
59,State-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,40,India,>50K
31,Private,Some-college,10,Divorced,Other-service,Not-in-family,40,United-States,<=50K
28,Private,12th,8,Married-civ-spouse,Handlers-cleaners,Husband,40,United-States,<=50K
30,Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,40,United-States,<=50K
19,Private,Some-college,10,Never-married,Tech-support,Own-child,10,United-States,<=50K
22,Private,HS-grad,9,Never-married,Other-service,Own-child,40,United-States,<=50K
20,Private,10th,6,Never-married,Handlers-cleaners,Own-child,30,United-States,<=50K
50,Self-emp-not-inc,11th,7,Divorced,Craft-repair,Unmarried,40,?,<=50K
23,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,40,United-States,<=50K
19,Private,11th,7,Never-married,Tech-support,Own-child,40,United-States,<=50K
19,Private,HS-grad,9,Never-married,Sales,Not-in-family,30,United-States,<=50K
22,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,55,United-States,<=50K
21,Private,Some-college,10,Never-married,Other-service,Own-child,25,United-States,<=50K
53,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,40,United-States,>50K
46,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,40,Cuba,>50K
20,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,40,United-States,<=50K
42,State-gov,Masters,14,Divorced,Prof-specialty,Unmarried,40,United-States,<=50K
65,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,60,United-States,<=50K
55,Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,40,United-States,<=50K
18,Private,HS-grad,9,Never-married,Transport-moving,Own-child,18,United-States,<=50K
33,Local-gov,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,40,United-States,<=50K
33,?,HS-grad,9,Married-civ-spouse,?,Husband,21,United-States,<=50K
21,Private,10th,6,Divorced,Craft-repair,Not-in-family,40,United-States,<=50K
47,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,40,United-States,<=50K
26,Private,HS-grad,9,Never-married,Tech-support,Not-in-family,40,?,<=50K
34,Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,40,United-States,<=50K
22,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Other-relative,40,United-States,<=50K
61,Private,11th,7,Widowed,Machine-op-inspct,Not-in-family,40,United-States,<=50K
79,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,7,United-States,<=50K
18,Private,12th,8,Never-married,Other-service,Other-relative,20,United-States,<=50K
39,State-gov,Some-college,10,Never-married,Prof-specialty,Not-in-family,40,United-States,<=50K
49,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,45,United-States,<=50K
31,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,40,Germany,<=50K
47,Private,11th,7,Never-married,Craft-repair,Unmarried,40,United-States,<=50K
36,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,50,United-States,>50K
25,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,45,United-States,<=50K
50,Local-gov,Masters,14,Divorced,Prof-specialty,Unmarried,65,United-States,<=50K
41,Self-emp-not-inc,HS-grad,9,Never-married,Farming-fishing,Not-in-family,40,United-States,<=50K
18,Private,Some-college,10,Never-married,Other-service,Own-child,20,United-States,<=50K
38,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,40,United-States,>50K
38,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,50,United-States,>50K
37,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,50,United-States,>50K
19,Private,Some-college,10,Never-married,Other-service,Own-child,15,United-States,<=50K
22,Private,HS-grad,9,Never-married,Other-service,Not-in-family,15,United-States,<=50K
19,Private,Some-college,10,Never-married,Other-service,Not-in-family,75,United-States,<=50K
56,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,40,United-States,<=50K
20,Private,Some-college,10,Married-civ-spouse,Sales,Wife,30,United-States,<=50K
52,Local-gov,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,25,United-States,<=50K
35,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,40,United-States,<=50K
29,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,56,United-States,<=50K
23,Private,Some-college,10,Never-married,Other-service,Unmarried,36,United-States,<=50K
33,State-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,40,United-States,<=50K
17,Private,5th-6th,3,Never-married,Other-service,Not-in-family,30,United-States,<=50K
36,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Wife,40,United-States,<=50K
21,Private,HS-grad,9,Never-married,Exec-managerial,Own-child,40,United-States,<=50K
19,?,Some-college,10,Never-married,?,Own-child,10,United-States,<=50K
28,Private,11th,7,Never-married,Handlers-cleaners,Own-child,20,United-States,<=50K
19,Private,Some-college,10,Never-married,Other-service,Own-child,12,United-States,<=50K
51,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,50,United-States,<=50K
38,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,30,United-States,<=50K
19,Private,Some-college,10,Never-married,Other-service,Not-in-family,35,United-States,<=50K
46,Self-emp-inc,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,70,United-States,>50K
42,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,70,United-States,<=50K
19,Private,12th,8,Never-married,Other-service,Own-child,25,United-States,<=50K
29,Private,HS-grad,9,Separated,Protective-serv,Not-in-family,55,United-States,<=50K
39,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,45,United-States,>50K
21,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,40,Mexico,<=50K
30,Private,HS-grad,9,Divorced,Machine-op-inspct,Own-child,40,United-States,<=50K
38,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,48,United-States,<=50K
47,Private,HS-grad,9,Never-married,Other-service,Not-in-family,40,United-States,<=50K
34,Private,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,40,Mexico,<=50K
46,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,40,United-States,<=50K
20,State-gov,HS-grad,9,Never-married,Tech-support,Own-child,24,United-States,<=50K
46,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,99,United-States,>50K
50,Private,Preschool,1,Never-married,Other-service,Not-in-family,40,Haiti,<=50K
50,?,5th-6th,3,Married-civ-spouse,?,Husband,40,United-States,<=50K
35,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Not-in-family,40,United-States,<=50K
32,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,40,United-States,<=50K
22,Private,Some-college,10,Never-married,Other-service,Not-in-family,25,United-States,<=50K
37,Private,9th,5,Married-civ-spouse,Protective-serv,Husband,16,United-States,<=50K
25,Private,HS-grad,9,Divorced,Craft-repair,Own-child,10,United-States,<=50K
38,Local-gov,Masters,14,Separated,Prof-specialty,Unmarried,40,United-States,<=50K
39,Federal-gov,Bachelors,13,Never-married,Tech-support,Own-child,40,United-States,<=50K
22,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,40,United-States,<=50K
25,Private,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,45,United-States,>50K
18,?,Some-college,10,Never-married,?,Own-child,40,United-States,<=50K
25,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,50,United-States,<=50K
65,State-gov,HS-grad,9,Widowed,Adm-clerical,Unmarried,20,United-States,<=50K
72,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,30,United-States,<=50K
25,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,38,United-States,<=50K
22,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,40,United-States,<=50K
36,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,40,United-States,>50K
